transactionId,userId,date,amount,type,category,merchantName,description,paymentMode,isRecurring,source
TXN0001000,U001,2024-01-25,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001001,U001,2024-01-29,2592,Expense,Utilities,Internet Provider,Utilities,Net Banking,false,Utilities
TXN0001002,U001,2024-01-25,3523,Expense,Dining,Restaurant,Dining,Cash,false,Dining
TXN0001003,U001,2024-01-18,4993,Expense,Medical,Pharmacy,Medical,Cash,false,Medical
TXN0001004,U001,2024-01-01,5310,Expense,Education,Tuition,Education,Cash,false,Education
TXN0001005,U001,2024-01-08,3289,Expense,Transportation,Gas Station,Transportation,UPI,false,Transportation
TXN0001006,U001,2024-01-17,6351,Expense,Medical,Lab Tests,Medical,Net Banking,false,Medical
TXN0001007,U001,2024-01-24,6372,Expense,Education,Udemy,Education,Cash,false,Education
TXN0001008,U001,2024-01-24,9375,Expense,Education,Books Store,Education,UPI,false,Education
TXN0001009,U001,2024-01-11,7424,Expense,Insurance,Insurance Company,Insurance,UPI,true,Insurance
TXN0001010,U001,2024-01-12,3631,Expense,Utilities,Gas Company,Utilities,Net Banking,false,Utilities
TXN0001011,U001,2024-01-10,15570,Expense,Entertainment,Gaming Store,Entertainment,Debit Card,false,Entertainment
TXN0001012,U001,2024-02-26,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001013,U001,2024-02-13,9666,Expense,Education,Coursera,Education,Credit Card,false,Education
TXN0001014,U001,2024-02-03,9561,Expense,Education,Udemy,Education,Debit Card,false,Education
TXN0001015,U001,2024-02-20,6583,Expense,Insurance,Premium Payment,Insurance,Credit Card,true,Insurance
TXN0001016,U001,2024-02-19,9396,Expense,Shopping,Amazon,Shopping,UPI,false,Shopping
TXN0001017,U001,2024-02-23,18354,Expense,Groceries,Local Market,Groceries,Cash,false,Groceries
TXN0001018,U001,2024-02-27,3483,Expense,Insurance,Premium Payment,Insurance,UPI,true,Insurance
TXN0001019,U001,2024-02-19,34546,Expense,Rent,Property Management,Rent,Credit Card,true,Rent
TXN0001020,U001,2024-02-05,3722,Expense,Transportation,Parking,Transportation,Debit Card,false,Transportation
TXN0001021,U001,2024-02-14,4162,Expense,Insurance,Insurance Company,Insurance,Cash,true,Insurance
TXN0001022,U001,2024-03-26,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001023,U001,2024-03-06,13894,Income,Freelance,Client,Freelance project,UPI,false,Freelance
TXN0001024,U001,2024-03-06,5183,Expense,Education,Books Store,Education,Cash,false,Education
TXN0001025,U001,2024-03-10,7557,Expense,Dining,Food Delivery,Dining,UPI,false,Dining
TXN0001026,U001,2024-03-29,4578,Expense,Transportation,Metro Card,Transportation,Net Banking,false,Transportation
TXN0001027,U001,2024-03-04,54962,Expense,Rent,Property Management,Rent,Debit Card,true,Rent
TXN0001028,U001,2024-03-28,4675,Expense,Transportation,Ola,Transportation,Credit Card,false,Transportation
TXN0001029,U001,2024-03-14,1870,Expense,Transportation,Ola,Transportation,Net Banking,false,Transportation
TXN0001030,U001,2024-03-17,3083,Expense,Transportation,Metro Card,Transportation,Credit Card,false,Transportation
TXN0001031,U001,2024-03-14,7149,Expense,Shopping,Amazon,Shopping,Debit Card,false,Shopping
TXN0001032,U001,2024-03-11,5887,Expense,Entertainment,Netflix,Entertainment,Credit Card,false,Entertainment
TXN0001033,U001,2024-04-28,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001034,U001,2024-04-15,19484,Income,Freelance,Client,Freelance project,UPI,false,Freelance
TXN0001035,U001,2024-04-09,42762,Expense,Rent,Landlord,Rent,Debit Card,true,Rent
TXN0001036,U001,2024-04-06,3103,Expense,Utilities,Electricity Board,Utilities,UPI,false,Utilities
TXN0001037,U001,2024-04-26,7191,Expense,Dining,Cafe,Dining,UPI,false,Dining
TXN0001038,U001,2024-04-27,4877,Expense,Groceries,Whole Foods,Groceries,Credit Card,false,Groceries
TXN0001039,U001,2024-04-26,5091,Expense,Medical,Hospital,Medical,UPI,false,Medical
TXN0001040,U001,2024-04-21,6651,Expense,Education,Books Store,Education,Debit Card,false,Education
TXN0001041,U001,2024-04-07,4877,Expense,Dining,Fast Food Chain,Dining,UPI,false,Dining
TXN0001042,U001,2024-04-13,3773,Expense,Insurance,Insurance Company,Insurance,Credit Card,true,Insurance
TXN0001043,U001,2024-05-28,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001044,U001,2024-05-20,3434,Expense,Medical,Hospital,Medical,Credit Card,false,Medical
TXN0001045,U001,2024-05-31,5664,Expense,Groceries,Amazon Fresh,Groceries,Cash,false,Groceries
TXN0001046,U001,2024-05-24,6739,Expense,Dining,Cafe,Dining,Net Banking,false,Dining
TXN0001047,U001,2024-05-07,3260,Expense,Transportation,Ola,Transportation,Net Banking,false,Transportation
TXN0001048,U001,2024-05-11,33330,Expense,Rent,Property Management,Rent,Net Banking,true,Rent
TXN0001049,U001,2024-05-06,13604,Expense,Utilities,Water Supply,Utilities,Debit Card,false,Utilities
TXN0001050,U001,2024-05-25,9106,Expense,Shopping,Nike,Shopping,Cash,false,Shopping
TXN0001051,U001,2024-05-09,6877,Expense,Insurance,Premium Payment,Insurance,UPI,true,Insurance
TXN0001052,U001,2024-05-24,4971,Expense,Insurance,Insurance Company,Insurance,Debit Card,true,Insurance
TXN0001053,U001,2024-05-02,3712,Expense,Insurance,Premium Payment,Insurance,Net Banking,true,Insurance
TXN0001054,U001,2024-06-28,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001055,U001,2024-06-10,9000,Income,Bonus,Employer,Bonus,Net Banking,false,Bonus
TXN0001056,U001,2024-06-14,4558,Expense,Insurance,Insurance Company,Insurance,UPI,true,Insurance
TXN0001057,U001,2024-06-26,5232,Expense,Insurance,Premium Payment,Insurance,Cash,true,Insurance
TXN0001058,U001,2024-06-24,3467,Expense,Medical,Hospital,Medical,Net Banking,false,Medical
TXN0001059,U001,2024-06-14,3247,Expense,Dining,Fast Food Chain,Dining,Net Banking,false,Dining
TXN0001060,U001,2024-06-19,11358,Expense,Shopping,Zara,Shopping,Credit Card,false,Shopping
TXN0001061,U001,2024-06-04,6492,Expense,Insurance,Premium Payment,Insurance,Net Banking,true,Insurance
TXN0001062,U001,2024-06-01,9238,Expense,Education,Books Store,Education,UPI,false,Education
TXN0001063,U001,2024-06-08,3274,Expense,Transportation,Parking,Transportation,Credit Card,false,Transportation
TXN0001064,U001,2024-07-28,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001065,U001,2024-07-21,7485,Expense,Dining,Food Delivery,Dining,Debit Card,false,Dining
TXN0001066,U001,2024-07-20,12518,Expense,Medical,Hospital,Medical,Debit Card,false,Medical
TXN0001067,U001,2024-07-17,3425,Expense,Insurance,Insurance Company,Insurance,Cash,true,Insurance
TXN0001068,U001,2024-07-22,3237,Expense,Transportation,Ola,Transportation,Debit Card,false,Transportation
TXN0001069,U001,2024-07-15,13556,Expense,Shopping,Zara,Shopping,Net Banking,false,Shopping
TXN0001070,U001,2024-07-24,38133,Expense,Rent,Landlord,Rent,Credit Card,true,Rent
TXN0001071,U001,2024-07-12,3986,Expense,Utilities,Internet Provider,Utilities,Credit Card,false,Utilities
TXN0001072,U001,2024-07-08,4795,Expense,Insurance,Premium Payment,Insurance,Net Banking,true,Insurance
TXN0001073,U001,2024-07-16,14553,Expense,Shopping,Amazon,Shopping,Credit Card,false,Shopping
TXN0001074,U001,2024-07-27,17048,Expense,Education,Udemy,Education,Credit Card,false,Education
TXN0001075,U001,2024-07-02,1282,Expense,Medical,Pharmacy,Medical,Credit Card,false,Medical
TXN0001076,U001,2024-07-22,6112,Expense,Insurance,Insurance Company,Insurance,Debit Card,true,Insurance
TXN0001077,U001,2024-08-25,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001078,U001,2024-08-04,8167,Income,Freelance,Client,Freelance project,UPI,false,Freelance
TXN0001079,U001,2024-08-20,6009,Expense,Groceries,Local Market,Groceries,Net Banking,false,Groceries
TXN0001080,U001,2024-08-21,6300,Expense,Groceries,Local Market,Groceries,Credit Card,false,Groceries
TXN0001081,U001,2024-08-01,3465,Expense,Groceries,Amazon Fresh,Groceries,UPI,false,Groceries
TXN0001082,U001,2024-08-22,5524,Expense,Shopping,Zara,Shopping,UPI,false,Shopping
TXN0001083,U001,2024-08-18,6869,Expense,Education,Udemy,Education,UPI,false,Education
TXN0001084,U001,2024-08-25,5826,Expense,Entertainment,Movie Tickets,Entertainment,UPI,false,Entertainment
TXN0001085,U001,2024-08-28,33291,Expense,Rent,Property Management,Rent,Cash,true,Rent
TXN0001086,U001,2024-08-03,1913,Expense,Medical,Pharmacy,Medical,Debit Card,false,Medical
TXN0001087,U001,2024-09-28,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001088,U001,2024-09-28,2645,Expense,Education,Udemy,Education,Debit Card,false,Education
TXN0001089,U001,2024-09-20,18991,Expense,Rent,Landlord,Rent,Credit Card,true,Rent
TXN0001090,U001,2024-09-17,23190,Expense,Rent,Property Management,Rent,Net Banking,true,Rent
TXN0001091,U001,2024-09-20,39827,Expense,Rent,Property Management,Rent,Debit Card,true,Rent
TXN0001092,U001,2024-09-22,19052,Expense,Shopping,Zara,Shopping,Debit Card,false,Shopping
TXN0001093,U001,2024-09-26,4219,Expense,Transportation,Ola,Transportation,UPI,false,Transportation
TXN0001094,U001,2024-09-28,8721,Expense,Medical,Lab Tests,Medical,Net Banking,false,Medical
TXN0001095,U001,2024-09-21,7476,Expense,Groceries,Carrefour,Groceries,Net Banking,false,Groceries
TXN0001096,U001,2024-09-12,43571,Expense,Rent,Property Management,Rent,Credit Card,true,Rent
TXN0001097,U001,2024-09-05,27968,Expense,Rent,Landlord,Rent,Debit Card,true,Rent
TXN0001098,U001,2024-10-27,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001099,U001,2024-10-03,37586,Expense,Rent,Property Management,Rent,Credit Card,true,Rent
TXN0001100,U001,2024-10-23,4387,Expense,Insurance,Insurance Company,Insurance,Cash,true,Insurance
TXN0001101,U001,2024-10-05,3668,Expense,Utilities,Electricity Board,Utilities,Net Banking,false,Utilities
TXN0001102,U001,2024-10-26,14022,Expense,Shopping,Amazon,Shopping,UPI,false,Shopping
TXN0001103,U001,2024-10-31,7623,Expense,Groceries,Local Market,Groceries,Credit Card,false,Groceries
TXN0001104,U001,2024-10-06,4213,Expense,Entertainment,Gaming Store,Entertainment,UPI,false,Entertainment
TXN0001105,U001,2024-10-10,5511,Expense,Dining,Food Delivery,Dining,Cash,false,Dining
TXN0001106,U001,2024-10-04,3967,Expense,Education,Books Store,Education,Debit Card,false,Education
TXN0001107,U001,2024-10-06,5090,Expense,Dining,Food Delivery,Dining,Cash,false,Dining
TXN0001108,U001,2024-11-25,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001109,U001,2024-11-21,36934,Expense,Rent,Property Management,Rent,Cash,true,Rent
TXN0001110,U001,2024-11-06,6333,Expense,Insurance,Insurance Company,Insurance,Net Banking,true,Insurance
TXN0001111,U001,2024-11-25,1770,Expense,Medical,Lab Tests,Medical,Net Banking,false,Medical
TXN0001112,U001,2024-11-12,6944,Expense,Education,Tuition,Education,Net Banking,false,Education
TXN0001113,U001,2024-11-20,6107,Expense,Insurance,Premium Payment,Insurance,Credit Card,true,Insurance
TXN0001114,U001,2024-11-26,9610,Expense,Entertainment,Netflix,Entertainment,Debit Card,false,Entertainment
TXN0001115,U001,2024-11-09,9050,Expense,Entertainment,Netflix,Entertainment,Debit Card,false,Entertainment
TXN0001116,U001,2024-11-02,7833,Expense,Medical,Hospital,Medical,Net Banking,false,Medical
TXN0001117,U001,2024-11-30,9132,Expense,Entertainment,Amazon Prime,Entertainment,Debit Card,false,Entertainment
TXN0001118,U001,2024-11-01,5100,Expense,Groceries,Amazon Fresh,Groceries,Debit Card,false,Groceries
TXN0001119,U001,2024-11-18,18211,Expense,Shopping,Zara,Shopping,UPI,false,Shopping
TXN0001120,U001,2024-12-25,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001121,U001,2024-12-02,9000,Income,Bonus,Employer,Bonus,Net Banking,false,Bonus
TXN0001122,U001,2024-12-07,6580,Expense,Groceries,Amazon Fresh,Groceries,UPI,false,Groceries
TXN0001123,U001,2024-12-07,15136,Expense,Utilities,Electricity Board,Utilities,Cash,false,Utilities
TXN0001124,U001,2024-12-24,4809,Expense,Transportation,Parking,Transportation,UPI,false,Transportation
TXN0001125,U001,2024-12-24,7647,Expense,Dining,Fast Food Chain,Dining,Debit Card,false,Dining
TXN0001126,U001,2024-12-29,1410,Expense,Medical,Hospital,Medical,UPI,false,Medical
TXN0001127,U001,2024-12-27,7204,Expense,Groceries,Local Market,Groceries,Credit Card,false,Groceries
TXN0001128,U001,2024-12-10,9151,Expense,Medical,Pharmacy,Medical,UPI,false,Medical
TXN0001129,U001,2024-12-29,2486,Expense,Transportation,Gas Station,Transportation,Net Banking,false,Transportation
TXN0001130,U001,2024-12-21,4489,Expense,Transportation,Gas Station,Transportation,Debit Card,false,Transportation
TXN0001131,U001,2024-12-15,6296,Expense,Groceries,Carrefour,Groceries,UPI,false,Groceries
TXN0001132,U001,2025-01-25,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001133,U001,2025-01-07,14308,Income,Freelance,Client,Freelance project,UPI,false,Freelance
TXN0001134,U001,2025-01-21,3017,Expense,Dining,Fast Food Chain,Dining,Net Banking,false,Dining
TXN0001135,U001,2025-01-08,4085,Expense,Insurance,Insurance Company,Insurance,UPI,true,Insurance
TXN0001136,U001,2025-01-21,3153,Expense,Dining,Cafe,Dining,Credit Card,false,Dining
TXN0001137,U001,2025-01-09,4426,Expense,Insurance,Insurance Company,Insurance,Cash,true,Insurance
TXN0001138,U001,2025-01-07,4201,Expense,Dining,Food Delivery,Dining,Debit Card,false,Dining
TXN0001139,U001,2025-01-27,7107,Expense,Medical,Lab Tests,Medical,Debit Card,false,Medical
TXN0001140,U001,2025-01-09,4626,Expense,Insurance,Premium Payment,Insurance,Net Banking,true,Insurance
TXN0001141,U001,2025-01-30,33930,Expense,Rent,Property Management,Rent,Debit Card,true,Rent
TXN0001142,U001,2025-01-19,6115,Expense,Medical,Clinic,Medical,Credit Card,false,Medical
TXN0001143,U001,2025-01-15,2236,Expense,Utilities,Electricity Board,Utilities,Net Banking,false,Utilities
TXN0001144,U001,2025-01-27,7184,Expense,Dining,Food Delivery,Dining,Net Banking,false,Dining
TXN0001145,U001,2025-02-28,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001146,U001,2025-02-10,43268,Expense,Rent,Property Management,Rent,Credit Card,true,Rent
TXN0001147,U001,2025-02-17,4129,Expense,Groceries,Amazon Fresh,Groceries,Cash,false,Groceries
TXN0001148,U001,2025-02-23,5289,Expense,Entertainment,Amazon Prime,Entertainment,Net Banking,false,Entertainment
TXN0001149,U001,2025-02-01,7008,Expense,Education,Books Store,Education,Debit Card,false,Education
TXN0001150,U001,2025-02-14,17812,Expense,Shopping,Nike,Shopping,Credit Card,false,Shopping
TXN0001151,U001,2025-02-20,51035,Expense,Rent,Landlord,Rent,Debit Card,true,Rent
TXN0001152,U001,2025-02-01,33790,Expense,Rent,Landlord,Rent,Cash,true,Rent
TXN0001153,U001,2025-02-01,2859,Expense,Transportation,Gas Station,Transportation,Debit Card,false,Transportation
TXN0001154,U001,2025-02-03,3763,Expense,Utilities,Gas Company,Utilities,Credit Card,false,Utilities
TXN0001155,U001,2025-02-13,6520,Expense,Entertainment,Netflix,Entertainment,UPI,false,Entertainment
TXN0001156,U001,2025-02-05,10183,Expense,Shopping,Flipkart,Shopping,Debit Card,false,Shopping
TXN0001157,U001,2025-02-09,5197,Expense,Insurance,Insurance Company,Insurance,UPI,true,Insurance
TXN0001158,U001,2025-03-25,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001159,U001,2025-03-21,11323,Expense,Medical,Lab Tests,Medical,Debit Card,false,Medical
TXN0001160,U001,2025-03-03,7556,Expense,Groceries,Amazon Fresh,Groceries,Cash,false,Groceries
TXN0001161,U001,2025-03-23,3839,Expense,Utilities,Electricity Board,Utilities,Debit Card,false,Utilities
TXN0001162,U001,2025-03-24,30144,Expense,Groceries,Carrefour,Groceries,Net Banking,false,Groceries
TXN0001163,U001,2025-03-04,10683,Expense,Shopping,Zara,Shopping,Net Banking,false,Shopping
TXN0001164,U001,2025-03-12,47275,Expense,Rent,Property Management,Rent,Net Banking,true,Rent
TXN0001165,U001,2025-03-03,5487,Expense,Groceries,Local Market,Groceries,UPI,false,Groceries
TXN0001166,U001,2025-03-14,3054,Expense,Groceries,Local Market,Groceries,Net Banking,false,Groceries
TXN0001167,U001,2025-04-28,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001168,U001,2025-04-21,4721,Expense,Groceries,Costco,Groceries,Credit Card,false,Groceries
TXN0001169,U001,2025-04-04,4434,Expense,Transportation,Parking,Transportation,UPI,false,Transportation
TXN0001170,U001,2025-04-27,7946,Expense,Education,Udemy,Education,Credit Card,false,Education
TXN0001171,U001,2025-04-13,2825,Expense,Medical,Clinic,Medical,Cash,false,Medical
TXN0001172,U001,2025-04-04,51852,Expense,Medical,Pharmacy,Medical,Credit Card,false,Medical
TXN0001173,U001,2025-04-07,7630,Expense,Groceries,Amazon Fresh,Groceries,Cash,false,Groceries
TXN0001174,U001,2025-04-18,52445,Expense,Rent,Landlord,Rent,UPI,true,Rent
TXN0001175,U001,2025-04-28,4370,Expense,Dining,Fast Food Chain,Dining,UPI,false,Dining
TXN0001176,U001,2025-04-13,10429,Expense,Shopping,Amazon,Shopping,Credit Card,false,Shopping
TXN0001177,U001,2025-05-25,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001178,U001,2025-05-08,3997,Expense,Transportation,Ola,Transportation,Cash,false,Transportation
TXN0001179,U001,2025-05-06,2737,Expense,Transportation,Ola,Transportation,Credit Card,false,Transportation
TXN0001180,U001,2025-05-05,32256,Expense,Entertainment,Gaming Store,Entertainment,Credit Card,false,Entertainment
TXN0001181,U001,2025-05-30,19701,Expense,Shopping,Flipkart,Shopping,Cash,false,Shopping
TXN0001182,U001,2025-05-26,2182,Expense,Transportation,Parking,Transportation,Cash,false,Transportation
TXN0001183,U001,2025-05-27,6048,Expense,Dining,Food Delivery,Dining,Credit Card,false,Dining
TXN0001184,U001,2025-05-07,2617,Expense,Education,Books Store,Education,Net Banking,false,Education
TXN0001185,U001,2025-05-07,4344,Expense,Transportation,Ola,Transportation,UPI,false,Transportation
TXN0001186,U001,2025-06-28,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001187,U001,2025-06-03,9000,Income,Bonus,Employer,Bonus,Net Banking,false,Bonus
TXN0001188,U001,2025-06-01,9533,Expense,Entertainment,Movie Tickets,Entertainment,Cash,false,Entertainment
TXN0001189,U001,2025-06-08,3728,Expense,Dining,Restaurant,Dining,Net Banking,false,Dining
TXN0001190,U001,2025-06-23,9963,Expense,Entertainment,Netflix,Entertainment,UPI,false,Entertainment
TXN0001191,U001,2025-06-08,2853,Expense,Entertainment,Gaming Store,Entertainment,Credit Card,false,Entertainment
TXN0001192,U001,2025-06-19,7962,Expense,Groceries,Costco,Groceries,Credit Card,false,Groceries
TXN0001193,U001,2025-06-26,7649,Expense,Insurance,Premium Payment,Insurance,UPI,true,Insurance
TXN0001194,U001,2025-06-20,5922,Expense,Groceries,Costco,Groceries,Net Banking,false,Groceries
TXN0001195,U001,2025-06-30,4388,Expense,Medical,Clinic,Medical,UPI,false,Medical
TXN0001196,U001,2025-06-02,6930,Expense,Education,Coursera,Education,Cash,false,Education
TXN0001197,U001,2025-06-21,31797,Expense,Rent,Landlord,Rent,Credit Card,true,Rent
TXN0001198,U001,2025-06-23,7450,Expense,Dining,Fast Food Chain,Dining,Cash,false,Dining
TXN0001199,U001,2025-07-26,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001200,U001,2025-07-09,22224,Expense,Insurance,Premium Payment,Insurance,Debit Card,true,Insurance
TXN0001201,U001,2025-07-15,1711,Expense,Transportation,Ola,Transportation,Debit Card,false,Transportation
TXN0001202,U001,2025-07-03,4712,Expense,Dining,Restaurant,Dining,Cash,false,Dining
TXN0001203,U001,2025-07-13,3564,Expense,Insurance,Insurance Company,Insurance,Cash,true,Insurance
TXN0001204,U001,2025-07-06,4080,Expense,Groceries,Carrefour,Groceries,Credit Card,false,Groceries
TXN0001205,U001,2025-07-16,38991,Expense,Rent,Property Management,Rent,Net Banking,true,Rent
TXN0001206,U001,2025-07-31,5917,Expense,Insurance,Insurance Company,Insurance,Credit Card,true,Insurance
TXN0001207,U001,2025-07-24,2681,Expense,Transportation,Gas Station,Transportation,Credit Card,false,Transportation
TXN0001208,U001,2025-07-30,4343,Expense,Groceries,Carrefour,Groceries,UPI,false,Groceries
TXN0001209,U001,2025-07-18,7128,Expense,Medical,Lab Tests,Medical,Net Banking,false,Medical
TXN0001210,U001,2025-07-20,2711,Expense,Transportation,Gas Station,Transportation,Credit Card,false,Transportation
TXN0001211,U001,2025-08-28,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001212,U001,2025-08-07,4769,Expense,Transportation,Parking,Transportation,Cash,false,Transportation
TXN0001213,U001,2025-08-25,45984,Expense,Rent,Landlord,Rent,Debit Card,true,Rent
TXN0001214,U001,2025-08-11,5896,Expense,Groceries,Amazon Fresh,Groceries,Net Banking,false,Groceries
TXN0001215,U001,2025-08-03,2645,Expense,Utilities,Gas Company,Utilities,UPI,false,Utilities
TXN0001216,U001,2025-08-03,4498,Expense,Insurance,Insurance Company,Insurance,Debit Card,true,Insurance
TXN0001217,U001,2025-08-01,8972,Expense,Shopping,Amazon,Shopping,Debit Card,false,Shopping
TXN0001218,U001,2025-08-03,4554,Expense,Medical,Hospital,Medical,Cash,false,Medical
TXN0001219,U001,2025-08-31,59065,Expense,Rent,Landlord,Rent,Net Banking,true,Rent
TXN0001220,U001,2025-08-02,8459,Expense,Entertainment,Netflix,Entertainment,UPI,false,Entertainment
TXN0001221,U001,2025-08-16,3793,Expense,Insurance,Insurance Company,Insurance,Credit Card,true,Insurance
TXN0001222,U001,2025-08-31,2661,Expense,Utilities,Gas Company,Utilities,Debit Card,false,Utilities
TXN0001223,U001,2025-08-03,4045,Expense,Insurance,Insurance Company,Insurance,UPI,true,Insurance
TXN0001224,U001,2025-09-25,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001225,U001,2025-09-27,14319,Expense,Shopping,Nike,Shopping,Net Banking,false,Shopping
TXN0001226,U001,2025-09-12,36256,Expense,Medical,Lab Tests,Medical,Cash,false,Medical
TXN0001227,U001,2025-09-26,3791,Expense,Groceries,Local Market,Groceries,Cash,false,Groceries
TXN0001228,U001,2025-09-06,3894,Expense,Utilities,Water Supply,Utilities,Cash,false,Utilities
TXN0001229,U001,2025-09-21,6103,Expense,Groceries,Costco,Groceries,Net Banking,false,Groceries
TXN0001230,U001,2025-09-29,2659,Expense,Entertainment,Movie Tickets,Entertainment,Cash,false,Entertainment
TXN0001231,U001,2025-09-22,14461,Expense,Medical,Lab Tests,Medical,Debit Card,false,Medical
TXN0001232,U001,2025-09-09,3858,Expense,Education,Udemy,Education,Debit Card,false,Education
TXN0001233,U001,2025-09-14,2774,Expense,Utilities,Electricity Board,Utilities,Debit Card,false,Utilities
